zip,city,state_id,county_name
60411,Chicago Heights,IL,Cook
60415,Chicago Ridge,IL,Cook
60601,Chicago,IL,Cook
60602,Chicago,IL,Cook
60603,Chicago,IL,Cook
60604,Chicago,IL,Cook
60605,Chicago,IL,Cook
60606,Chicago,IL,Cook
60607,Chicago,IL,Cook
60608,Chicago,IL,Cook
60609,Chicago,IL,Cook
60610,Chicago,IL,Cook
60611,Chicago,IL,Cook
60612,Chicago,IL,Cook
60613,Chicago,IL,Cook
60614,Chicago,IL,Cook
60615,Chicago,IL,Cook
60616,Chicago,IL,Cook
60617,Chicago,IL,Cook
60618,Chicago,IL,Cook
60619,Chicago,IL,Cook
60620,Chicago,IL,Cook
60621,Chicago,IL,Cook
60622,Chicago,IL,Cook
60623,Chicago,IL,Cook
60624,Chicago,IL,Cook
60625,Chicago,IL,Cook
60626,Chicago,IL,Cook
60628,Chicago,IL,Cook
60629,Chicago,IL,Cook
60630,Chicago,IL,Cook
60631,Chicago,IL,Cook
60632,Chicago,IL,Cook
60633,Chicago,IL,Cook
60634,Chicago,IL,Cook
60636,Chicago,IL,Cook
60637,Chicago,IL,Cook
60638,Chicago,IL,Cook
60639,Chicago,IL,Cook
60640,Chicago,IL,Cook
60641,Chicago,IL,Cook
60642,Chicago,IL,Cook
60643,Chicago,IL,Cook
60644,Chicago,IL,Cook
60645,Chicago,IL,Cook
60646,Chicago,IL,Cook
60647,Chicago,IL,Cook
60649,Chicago,IL,Cook
60651,Chicago,IL,Cook
60652,Chicago,IL,Cook
60653,Chicago,IL,Cook
60654,Chicago,IL,Cook
60655,Chicago,IL,Cook
60656,Chicago,IL,Cook
60657,Chicago,IL,Cook
60659,Chicago,IL,Cook
60660,Chicago,IL,Cook
60661,Chicago,IL,Cook
