,neighborhood_name,neigh_lat,neigh_lon
0,Douglas,41.835118342623176,-87.61867772050564
1,Oakland,41.823750345730396,-87.60321641296161
2,Fuller Park,41.8090854843581,-87.63242456957649
3,Grand Boulevard,41.81294935894828,-87.6178596907689
4,Kenwood,41.808916370166855,-87.59618357877342
5,Lincoln Square,41.97517153048752,-87.68751544295701
6,Washington Park,41.79235756859052,-87.61793123308573
7,Hyde Park,41.794090306939644,-87.59231092230799
8,Woodlawn,41.77887641064269,-87.59492536136263
9,Rogers Park,42.009623377988696,-87.6701672940393
10,Jefferson Park,41.97882998234234,-87.77116691801386
11,Forest Glen,41.993930654079236,-87.75835628921867
12,North Park,41.983636455292796,-87.72358281827584
13,Albany Park,41.96806846568348,-87.72155978386796
14,Portage Park,41.954028162150045,-87.76339991111827
15,Irving Park,41.95358181896004,-87.72345248206662
16,Dunning,41.946510663174045,-87.80601984481358
17,Montclare,41.92929769096116,-87.79803232487089
18,Belmont Cragin,41.927260741518765,-87.76550183689807
19,West Ridge,42.001572146349325,-87.69501265887241
20,Hermosa,41.92434775700643,-87.73474016018459
21,Avondale,41.93866588769793,-87.7112106378686
22,Logan Square,41.92275985852189,-87.69915594576551
23,Humboldt Park,41.90006984503975,-87.72091881010347
24,West Town,41.9012067343156,-87.67635712603919
25,Austin,41.894101296113426,-87.76311182422583
26,West Garfield Park,41.87859466819959,-87.73023251189852
27,East Garfield Park,41.87891463058505,-87.70589720722788
28,Near West Side,41.87400538488452,-87.66351788670046
29,North Lawndale,41.86018959234662,-87.71721947381866
30,Uptown,41.96581207771316,-87.65587931915148
31,South Lawndale,41.83908700852653,-87.71400209568442
32,Lower West Side,41.85026617106391,-87.66756822559354
33,Near South Side,41.85718426592725,-87.62033482705607
34,Armour Square,41.84207748674286,-87.63397369753214
35,Norwood Park,41.98524067386265,-87.8034502383553
36,Near North Side,41.89960210642618,-87.63330943703566
37,Loop,41.878865946364506,-87.62519186960121
38,South Shore,41.76157779644904,-87.57278271472944
39,Chatham,41.74020600057612,-87.61596996011724
40,Avalon Park,41.74419967938302,-87.5863488344573
41,South Chicago,41.741242815344854,-87.55142918511253
42,Burnside,41.72818223370131,-87.59647566792844
43,Mckinley Park,41.82992225222828,-87.67250270029346
44,Lake View,41.94422687050367,-87.65599892982176
45,Calumet Heights,41.729676127015345,-87.57271771089653
46,Roseland,41.70658996158545,-87.62336576896239
47,North Center,41.94779237360123,-87.68383517981742
48,Pullman,41.70612706247851,-87.59825466721087
49,South Deering,41.69063701237842,-87.57005674804512
50,East Side,41.707313961745264,-87.53490233790232
51,West Pullman,41.67382005041712,-87.63574016612793
52,Riverdale,41.66013746994187,-87.60284873294681
53,Hegewisch,41.66053490476759,-87.54657542639667
54,Garfield Ridge,41.796185611808966,-87.76423968103695
55,Archer Heights,41.810879571562666,-87.7263628391597
56,Brighton Park,41.81736679935858,-87.69886064412809
57,Bridgeport,41.836150660976514,-87.64878824824524
58,New City,41.809018523203044,-87.65916684500394
59,West Elsdon,41.79298198528588,-87.72420790440165
60,Gage Park,41.795430626062874,-87.69643520920069
61,Clearing,41.77958149035263,-87.7685110312481
62,West Lawn,41.76977903154135,-87.72692933445079
63,Chicago Lawn,41.77184915902873,-87.69566636418595
64,West Englewood,41.77593028944098,-87.66659636148363
65,Englewood,41.77719770252813,-87.64249719974059
66,Greater Grand Crossing,41.763247073626026,-87.61613416907454
67,Lincoln Park,41.9226861178851,-87.64948972103547
68,Ashburn,41.74575691418482,-87.70836548832601
69,Auburn Gresham,41.74420543691773,-87.65630678738879
70,Beverly,41.71314972583588,-87.67507504919683
71,Washington Heights,41.71749388292614,-87.64889548780167
72,Mount Greenwood,41.69487944254784,-87.7131918580596
73,Morgan Park,41.689729585922855,-87.66905398718522
74,Ohare,41.975683923997096,-87.89370075775543
75,Edgewater,41.98671222550283,-87.6634166067842
76,Edison Park,42.00761315249504,-87.81378102747257
